bundle,metrics,n_streamlines,vol_mm3,mean,std,median,IQR
atlas_THAL_MOT_LEFT,QA,3925,19279.999,0.287975,0.024888,0.285275,0.035777
atlas_THAL_MOT_LEFT,QIR,3925,19279.999,0.368435,0.035786,0.367299,0.049509
atlas_THAL_MOT_LEFT,FA,3925,19279.999,0.450723,0.053104,0.454799,0.058073
atlas_THAL_MOT_LEFT,AD,3925,19279.999,0.001179,6.1e-05,0.00117,7.4e-05
atlas_THAL_MOT_LEFT,RD,3925,19279.999,0.580046,0.093776,0.558488,0.104125
atlas_THAL_MOT_LEFT,MD,3925,19279.999,0.000789,7.6e-05,0.00077,9.4e-05
atlas_THAL_MOT_LEFT,ISO,3925,19279.999,0.787072,0.021103,0.785195,0.031697
atlas_THAL_MOT_LEFT,RDI,3925,19279.999,0.528973,0.012383,0.527738,0.016499
atlas_THAL_MOT_RIGHT,QA,3157,14807.999,0.314756,0.052267,0.295518,0.077772
atlas_THAL_MOT_RIGHT,QIR,3157,14807.999,0.410134,0.063185,0.39353,0.080292
atlas_THAL_MOT_RIGHT,FA,3157,14807.999,0.483841,0.065177,0.472197,0.112366
atlas_THAL_MOT_RIGHT,AD,3157,14807.999,0.001193,0.000169,0.001171,0.000153
atlas_THAL_MOT_RIGHT,RD,3157,14807.999,0.536735,0.151775,0.516316,0.07238
atlas_THAL_MOT_RIGHT,MD,3157,14807.999,0.000774,0.000148,0.00074,2.2e-05
atlas_THAL_MOT_RIGHT,ISO,3157,14807.999,0.776154,0.034788,0.783315,0.034221
atlas_THAL_MOT_RIGHT,RDI,3157,14807.999,0.530984,0.029858,0.537197,0.040169
atlas_THAL_OCC_LEFT,QA,1101,5936.0,0.338257,0.018584,0.339207,0.018901
atlas_THAL_OCC_LEFT,QIR,1101,5936.0,0.487885,0.028093,0.489878,0.032959
atlas_THAL_OCC_LEFT,FA,1101,5936.0,0.478156,0.02366,0.479717,0.032351
atlas_THAL_OCC_LEFT,AD,1101,5936.0,0.001351,4e-05,0.001356,4.8e-05
atlas_THAL_OCC_LEFT,RD,1101,5936.0,0.603398,0.037848,0.600157,0.051038
atlas_THAL_OCC_LEFT,MD,1101,5936.0,0.000875,3.8e-05,0.00088,5.6e-05
atlas_THAL_OCC_LEFT,ISO,1101,5936.0,0.711234,0.009894,0.711431,0.010937
atlas_THAL_OCC_LEFT,RDI,1101,5936.0,0.496411,0.006418,0.49581,0.00582
atlas_THAL_OCC_RIGHT,QA,19,880.0,0.336038,0.025967,0.32945,0.043062
atlas_THAL_OCC_RIGHT,QIR,19,880.0,0.470263,0.042778,0.461207,0.075027
atlas_THAL_OCC_RIGHT,FA,19,880.0,0.452716,0.053278,0.433881,0.092571
atlas_THAL_OCC_RIGHT,AD,19,880.0,0.001281,6.2e-05,0.001299,9.3e-05
atlas_THAL_OCC_RIGHT,RD,19,880.0,0.606091,0.067821,0.62585,0.116536
atlas_THAL_OCC_RIGHT,MD,19,880.0,0.000847,4.4e-05,0.000839,7.8e-05
atlas_THAL_OCC_RIGHT,ISO,19,880.0,0.745689,0.013794,0.739738,0.023928
atlas_THAL_OCC_RIGHT,RDI,19,880.0,0.519207,0.00374,0.51804,0.004697
atlas_THAL_PAR_LEFT,QA,4255,20479.999,0.306037,0.028206,0.308084,0.034133
atlas_THAL_PAR_LEFT,QIR,4255,20479.999,0.441251,0.052486,0.444907,0.065135
atlas_THAL_PAR_LEFT,FA,4255,20479.999,0.434622,0.046616,0.446227,0.062299
atlas_THAL_PAR_LEFT,AD,4255,20479.999,0.001286,8e-05,0.001286,8.8e-05
atlas_THAL_PAR_LEFT,RD,4255,20479.999,0.650924,0.091311,0.624796,0.096012
atlas_THAL_PAR_LEFT,MD,4255,20479.999,0.000873,7.5e-05,0.000852,8.6e-05
atlas_THAL_PAR_LEFT,ISO,4255,20479.999,0.722573,0.027174,0.715711,0.027874
atlas_THAL_PAR_LEFT,RDI,4255,20479.999,0.495929,0.013247,0.492139,0.015631
atlas_THAL_PAR_RIGHT,QA,2196,12463.999,0.359692,0.031555,0.36079,0.033539
atlas_THAL_PAR_RIGHT,QIR,2196,12463.999,0.506346,0.051923,0.517185,0.054607
atlas_THAL_PAR_RIGHT,FA,2196,12463.999,0.485334,0.036852,0.485686,0.036471
atlas_THAL_PAR_RIGHT,AD,2196,12463.999,0.001278,8.2e-05,0.001291,0.000101
atlas_THAL_PAR_RIGHT,RD,2196,12463.999,0.565533,0.054127,0.56554,0.054223
atlas_THAL_PAR_RIGHT,MD,2196,12463.999,0.000821,5.5e-05,0.000813,8.4e-05
atlas_THAL_PAR_RIGHT,ISO,2196,12463.999,0.737931,0.036555,0.722346,0.039736
atlas_THAL_PAR_RIGHT,RDI,2196,12463.999,0.516505,0.02273,0.508405,0.037992
atlas_THAL_TEMP_LEFT,QA,2929,17735.999,0.204278,0.054394,0.216814,0.059321
atlas_THAL_TEMP_LEFT,QIR,2929,17735.999,0.296424,0.073277,0.307419,0.091649
atlas_THAL_TEMP_LEFT,FA,2929,17735.999,0.286661,0.085322,0.299789,0.12447
atlas_THAL_TEMP_LEFT,AD,2929,17735.999,0.00162,0.000619,0.001415,0.000463
atlas_THAL_TEMP_LEFT,RD,2929,17735.999,1.132127,0.609989,0.926017,0.476254
atlas_THAL_TEMP_LEFT,MD,2929,17735.999,0.001311,0.000614,0.001096,0.000471
atlas_THAL_TEMP_LEFT,ISO,2929,17735.999,0.716171,0.132045,0.751523,0.128049
atlas_THAL_TEMP_LEFT,RDI,2929,17735.999,0.460158,0.093789,0.488614,0.077675
atlas_THAL_TEMP_RIGHT,QA,6434,18567.999,0.215762,0.047921,0.213293,0.065522
atlas_THAL_TEMP_RIGHT,QIR,6434,18567.999,0.323741,0.076221,0.322116,0.112329
atlas_THAL_TEMP_RIGHT,FA,6434,18567.999,0.298936,0.072604,0.298742,0.114782
atlas_THAL_TEMP_RIGHT,AD,6434,18567.999,0.001467,0.000318,0.001374,0.000351
atlas_THAL_TEMP_RIGHT,RD,6434,18567.999,0.94805,0.307425,0.875142,0.367162
atlas_THAL_TEMP_RIGHT,MD,6434,18567.999,0.001137,0.000306,0.001057,0.000358
atlas_THAL_TEMP_RIGHT,ISO,6434,18567.999,0.730239,0.07938,0.726785,0.103217
atlas_THAL_TEMP_RIGHT,RDI,6434,18567.999,0.472491,0.050814,0.471432,0.059263
atlas_UN_LEFT,QA,6992,17671.999,0.252498,0.039925,0.26136,0.046456
atlas_UN_LEFT,QIR,6992,17671.999,0.324618,0.067322,0.336716,0.102698
atlas_UN_LEFT,FA,6992,17671.999,0.405713,0.067478,0.423564,0.074986
atlas_UN_LEFT,AD,6992,17671.999,0.001153,0.000193,0.001113,9e-05
atlas_UN_LEFT,RD,6992,17671.999,0.588842,0.199285,0.554444,0.068334
atlas_UN_LEFT,MD,6992,17671.999,0.000835,0.000198,0.000795,6.2e-05
atlas_UN_LEFT,ISO,6992,17671.999,0.817667,0.07885,0.793771,0.126929
atlas_UN_LEFT,RDI,6992,17671.999,0.539466,0.043426,0.531076,0.063951
atlas_UN_RIGHT,QA,8452,19983.999,0.255034,0.046994,0.256666,0.075577
atlas_UN_RIGHT,QIR,8452,19983.999,0.330484,0.072118,0.325993,0.124592
atlas_UN_RIGHT,FA,8452,19983.999,0.406096,0.075414,0.406093,0.101269
atlas_UN_RIGHT,AD,8452,19983.999,0.001129,0.000178,0.001102,9.3e-05
atlas_UN_RIGHT,RD,8452,19983.999,0.577007,0.191386,0.530843,0.065583
atlas_UN_RIGHT,MD,8452,19983.999,0.000805,0.000179,0.000766,5.7e-05
atlas_UN_RIGHT,ISO,8452,19983.999,0.815304,0.067871,0.810018,0.084985
atlas_UN_RIGHT,RDI,8452,19983.999,0.537809,0.039765,0.53357,0.042089
